0.381222 2.36693 0.183892 -1.18944 
0.406398 2.4667 0.17203 -1.08972 
0.432608 2.56558 0.161156 -0.99962 
0.459844 2.66358 0.151174 -0.918221 
0.488097 2.76071 0.141999 -0.844666 
0.517356 2.85698 0.133552 -0.778163 
0.547614 2.9524 0.125765 -0.717986 
0.578862 3.04697 0.118575 -0.663479 
0.61109 3.1407 0.111925 -0.614051 
0.64429 3.23358 0.105766 -0.56917 
0.678453 3.3256 0.100053 -0.528366 
0.71357 3.41677 0.0947459 -0.491214 
0.749633 3.50708 0.0898082 -0.457341 
0.786631 3.59652 0.0852077 -0.42641 
0.824557 3.68508 0.0809154 -0.398126 
0.863401 3.77275 0.0769052 -0.372224 
0.903153 3.85953 0.0731533 -0.348468 
0.943805 3.9454 0.0696387 -0.32665 
0.985346 4.03035 0.066342 -0.306582 
1.02777 4.11436 0.0632461 -0.288097 
1.07106 4.19743 0.060335 -0.271048 
1.11521 4.27954 0.0575947 -0.255302 
1.16021 4.36067 0.0550121 -0.240739 
1.20605 4.44082 0.0525756 -0.227253 
1.25273 4.51997 0.0502743 -0.214749 
